temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,year,month,day,day_of_week,aqi_lag_1,aqi_rolling_mean_3
29.0,77,1003.9,18.0,0.2,72.47083333333333,20.179166666666667,202.3333333333333,12.2875,5.758333333333333,36.083333333333336,2024,8,18,3,66.0,66.94444444444441
28.9,77,1004.4,18.2,1.0,54.020833333333336,17.929166666666667,213.0833333333333,11.458333333333334,5.5125,42.66666666666666,2024,8,19,1,68.95833333333333,66.90277777777776
29.3,74,1003.9,22.6,0.8,43.075,16.395833333333332,193.0,8.920833333333333,4.55,43.583333333333336,2024,8,20,5,65.75,65.23611111111109
29.3,74,1004.5,22.8,0.0,44.53333333333333,16.745833333333334,176.79166666666666,7.533333333333332,4.183333333333334,47.0,2024,8,21,6,61.0,61.805555555555536
30.0,71,1004.0,20.7,0.0,63.59166666666667,18.883333333333333,178.04166666666666,7.791666666666667,4.4875,50.75,2024,8,22,4,58.66666666666666,61.111111111111086
29.7,73,1004.1,21.6,0.0,63.225,18.004166666666666,173.79166666666666,7.066666666666666,4.2,52.41666666666666,2024,8,23,0,63.66666666666666,61.87499999999997
29.4,74,1004.1,21.8,0.0,79.80833333333334,21.133333333333333,176.79166666666666,7.304166666666667,4.341666666666667,53.458333333333336,2024,8,24,2,63.29166666666666,63.62499999999997
29.4,74,1002.4,25.1,0.0,81.96249999999999,23.6875,170.45833333333334,6.6000000000000005,4.041666666666667,55.708333333333336,2024,8,25,3,63.91666666666666,67.09722222222219
29.7,74,999.9,23.7,0.0,68.47083333333333,21.23333333333333,192.875,9.945833333333336,5.1875,60.29166666666666,2024,8,26,1,74.08333333333333,69.95833333333331
29.0,82,998.7,16.3,51.2,50.62083333333334,20.791666666666668,284.625,13.975,8.254166666666666,84.70833333333333,2024,8,27,5,71.875,73.02777777777776
27.5,87,1000.0,17.7,22.8,17.604166666666668,11.629166666666668,364.9583333333333,17.325,8.85,81.125,2024,8,28,6,73.125,68.27777777777776
27.6,89,998.8,19.5,21.8,28.0625,15.520833333333334,354.3333333333333,20.04583333333333,9.158333333333331,74.95833333333333,2024,8,29,4,59.833333333333336,61.166666666666636
27.3,83,997.5,34.4,25.7,23.129166666666663,14.033333333333331,207.16666666666663,8.458333333333334,6.829166666666667,71.95833333333333,2024,8,30,0,50.54166666666666,55.7222222222222
26.3,87,1002.6,33.6,8.5,34.770833333333336,11.9,182.16666666666663,9.775,7.212499999999999,42.333333333333336,2024,8,31,2,56.79166666666666,53.52777777777775
27.0,88,1004.8,15.6,1.0,41.204166666666666,14.025,260.2083333333333,14.875,10.6,34.583333333333336,2024,9,1,3,53.25,53.263888888888864
27.0,87,1004.5,9.0,0.0,48.1625,15.3625,302.875,21.27083333333333,10.033333333333331,42.5,2024,9,2,1,49.75,53.37499999999998
27.3,86,1004.7,11.3,0.0,62.2625,16.191666666666666,284.9583333333333,20.64583333333333,8.720833333333333,46.04166666666666,2024,9,3,5,57.125,54.638888888888864
27.7,83,1004.6,15.1,2.2,63.40416666666667,18.883333333333333,241.41666666666663,17.7375,6.133333333333333,34.958333333333336,2024,9,4,6,57.04166666666666,58.986111111111086
28.0,84,1002.3,22.1,0.2,40.66666666666666,16.816666666666666,194.16666666666663,10.858333333333334,4.2625,46.125,2024,9,5,4,62.79166666666666,60.68055555555552
27.9,84,1003.4,20.1,0.9,50.875,19.058333333333334,213.3333333333333,12.533333333333331,4.6625000000000005,45.04166666666666,2024,9,6,0,62.208333333333336,62.51388888888886
27.5,83,1005.0,15.4,0.2,49.925,17.479166666666668,227.41666666666663,14.225,5.454166666666667,44.583333333333336,2024,9,7,2,62.54166666666666,62.930555555555536
